Status,table_name,column_name,description,Note
,hospice_value_codes,BENE_ID,Encrypted 723 Beneficiary ID,
,hospice_value_codes,CLM_ID,Encrypted Claim ID,
,hospice_value_codes,NCH_CLM_TYPE_CD,NCH Claim Type Code,
,hospice_value_codes,RLT_VAL_CD_SEQ,Claim Related Value Code Sequence,
,hospice_value_codes,CLM_VAL_CD,Claim Value Code,
,hospice_value_codes,CLM_VAL_AMT,Claim Value Amount,
,hospice_occurrnce_codes,BENE_ID,Encrypted 723 Beneficiary ID,
,hospice_occurrnce_codes,CLM_ID,Encrypted Claim ID,
,hospice_occurrnce_codes,NCH_CLM_TYPE_CD,NCH Claim Type Code,
,hospice_occurrnce_codes,RLT_OCRNC_CD_SEQ,Claim Related Occurrence Code Sequence,
,hospice_occurrnce_codes,CLM_RLT_OCRNC_CD,Claim Related Occurrence Code,
,hospice_occurrnce_codes,CLM_RLT_OCRNC_DT,Claim Related Occurrence Date,
,hha_condition_codes,BENE_ID,Encrypted 723 Beneficiary ID,
,hha_condition_codes,CLM_ID,Encrypted Claim ID,
,hha_condition_codes,NCH_CLM_TYPE_CD,NCH Claim Type Code,
,hha_condition_codes,RLT_COND_CD_SEQ,Claim Related Condition Code Sequence,
,hha_condition_codes,CLM_RLT_COND_CD,Claim Related Condition Code,
,mbsf_d_cmpnts,BENE_ID,Encrypted 723 Beneficiary ID (Unique Key),
,mbsf_d_cmpnts,BENE_ENROLLMT_REF_YR,Beneficiary Enrollment Reference Year,
,mbsf_d_cmpnts,CRDTBL_CVRG_SW,Creditable Coverage Switch,
,mbsf_d_cmpnts,PLAN_CVRG_MOS_NUM,Plan Coverage Months Number,
,mbsf_d_cmpnts,RDS_CVRG_MOS_NUM,Retiree Drug Subsidy Coverage Months Number,
,mbsf_d_cmpnts,DUAL_ELGBL_MOS_NUM,Dual Eligible Months Number,
,mbsf_d_cmpnts,PTD_CNTRCT_ID_01,Jan. Contract ID,
,mbsf_d_cmpnts,PTD_CNTRCT_ID_02,Feb. Contract ID,
,mbsf_d_cmpnts,PTD_CNTRCT_ID_03,Mar. Contract ID,
,mbsf_d_cmpnts,PTD_CNTRCT_ID_04,Apr. Contract ID,
,mbsf_d_cmpnts,PTD_CNTRCT_ID_05,May Contract ID,
,mbsf_d_cmpnts,PTD_CNTRCT_ID_06,Jun. Contract ID,
,mbsf_d_cmpnts,PTD_CNTRCT_ID_07,Jul. Contract ID,
,mbsf_d_cmpnts,PTD_CNTRCT_ID_08,Aug. Contract ID,
,mbsf_d_cmpnts,PTD_CNTRCT_ID_09,Sep. Contract ID,
,mbsf_d_cmpnts,PTD_CNTRCT_ID_10,Oct. Contract ID,
,mbsf_d_cmpnts,PTD_CNTRCT_ID_11,Nov. Contract ID,
,mbsf_d_cmpnts,PTD_CNTRCT_ID_12,Dec. Contract ID,
,mbsf_d_cmpnts,PTD_PBP_ID_01,Jan. Plan Benefit Package ID,
,mbsf_d_cmpnts,PTD_PBP_ID_02,Feb. Plan Benefit Package ID,
,mbsf_d_cmpnts,PTD_PBP_ID_03,Mar. Plan Benefit Package ID,
,mbsf_d_cmpnts,PTD_PBP_ID_04,Apr. Plan Benefit Package ID,
,mbsf_d_cmpnts,PTD_PBP_ID_05,May Plan Benefit Package ID,
,mbsf_d_cmpnts,PTD_PBP_ID_06,Jun. Plan Benefit Package ID,
,mbsf_d_cmpnts,PTD_PBP_ID_07,Jul. Plan Benefit Package ID,
,mbsf_d_cmpnts,PTD_PBP_ID_08,Aug. Plan Benefit Package ID,
,mbsf_d_cmpnts,PTD_PBP_ID_09,Sep. Plan Benefit Package ID,
,mbsf_d_cmpnts,PTD_PBP_ID_10,Oct. Plan Benefit Package ID,
,mbsf_d_cmpnts,PTD_PBP_ID_11,Nov. Plan Benefit Package ID,
,mbsf_d_cmpnts,PTD_PBP_ID_12,Dec. Plan Benefit Package ID,
,mbsf_d_cmpnts,PTD_SGMT_ID_01,Jan. Segment ID,
,mbsf_d_cmpnts,PTD_SGMT_ID_02,Feb. Segment ID,
,mbsf_d_cmpnts,PTD_SGMT_ID_03,Mar. Segment ID,
,mbsf_d_cmpnts,PTD_SGMT_ID_04,Apr. Segment ID,
,mbsf_d_cmpnts,PTD_SGMT_ID_05,May Segment ID,
,mbsf_d_cmpnts,PTD_SGMT_ID_06,Jun. Segment ID,
,mbsf_d_cmpnts,PTD_SGMT_ID_07,Jul. Segment ID,
,mbsf_d_cmpnts,PTD_SGMT_ID_08,Aug. Segment ID,
,mbsf_d_cmpnts,PTD_SGMT_ID_09,Sep. Segment ID,
,mbsf_d_cmpnts,PTD_SGMT_ID_10,Oct. Segment ID,
,mbsf_d_cmpnts,PTD_SGMT_ID_11,Nov. Segment ID,
,mbsf_d_cmpnts,PTD_SGMT_ID_12,Dec. Segment ID,
,mbsf_d_cmpnts,CST_SHR_GRP_CD_01,Jan. Cost Share Group Code,
,mbsf_d_cmpnts,CST_SHR_GRP_CD_02,Feb. Cost Share Group Code,
,mbsf_d_cmpnts,CST_SHR_GRP_CD_03,Mar. Cost Share Group Code,
,mbsf_d_cmpnts,CST_SHR_GRP_CD_04,Apr. Cost Share Group Code,
,mbsf_d_cmpnts,CST_SHR_GRP_CD_05,May Cost Share Group Code,
,mbsf_d_cmpnts,CST_SHR_GRP_CD_06,Jun. Cost Share Group Code,
,mbsf_d_cmpnts,CST_SHR_GRP_CD_07,Jul. Cost Share Group Code,
,mbsf_d_cmpnts,CST_SHR_GRP_CD_08,Aug. Cost Share Group Code,
,mbsf_d_cmpnts,CST_SHR_GRP_CD_09,Sep. Cost Share Group Code,
,mbsf_d_cmpnts,CST_SHR_GRP_CD_10,Oct. Cost Share Group Code,
,mbsf_d_cmpnts,CST_SHR_GRP_CD_11,Nov. Cost Share Group Code,
,mbsf_d_cmpnts,CST_SHR_GRP_CD_12,Dec. Cost Share Group Code,
,mbsf_d_cmpnts,RDS_IND_01,Jan. RDS Code - Retiree Drug Subsidy Code,
,mbsf_d_cmpnts,RDS_IND_02,Feb. RDS Code - Retiree Drug Subsidy Code,
,mbsf_d_cmpnts,RDS_IND_03,Mar. RDS Code - Retiree Drug Subsidy Code,
,mbsf_d_cmpnts,RDS_IND_04,Apr. RDS Code - Retiree Drug Subsidy Code,
,mbsf_d_cmpnts,RDS_IND_05,May RDS Code - Retiree Drug Subsidy Code,
,mbsf_d_cmpnts,RDS_IND_06,Jun. RDS Code - Retiree Drug Subsidy Code,
,mbsf_d_cmpnts,RDS_IND_07,Jul. RDS Code - Retiree Drug Subsidy Code,
,mbsf_d_cmpnts,RDS_IND_08,Aug. RDS Code - Retiree Drug Subsidy Code,
,mbsf_d_cmpnts,RDS_IND_09,Sep. RDS Code - Retiree Drug Subsidy Code,
,mbsf_d_cmpnts,RDS_IND_10,Oct. RDS Code - Retiree Drug Subsidy Code,
,mbsf_d_cmpnts,RDS_IND_11,Nov. RDS Code - Retiree Drug Subsidy Code,
,mbsf_d_cmpnts,RDS_IND_12,Dec. RDS Code - Retiree Drug Subsidy Code,
,mbsf_d_cmpnts,DUAL_STUS_CD_01,Jan. Dual Status Code,
,mbsf_d_cmpnts,DUAL_STUS_CD_02,Feb. Dual Status Code,
,mbsf_d_cmpnts,DUAL_STUS_CD_03,Mar. Dual Status Code,
,mbsf_d_cmpnts,DUAL_STUS_CD_04,Apr. Dual Status Code,
,mbsf_d_cmpnts,DUAL_STUS_CD_05,May Dual Status Code,
,mbsf_d_cmpnts,DUAL_STUS_CD_06,Jun. Dual Status Code,
,mbsf_d_cmpnts,DUAL_STUS_CD_07,Jul. Dual Status Code,
,mbsf_d_cmpnts,DUAL_STUS_CD_08,Aug. Dual Status Code,
,mbsf_d_cmpnts,DUAL_STUS_CD_09,Sep. Dual Status Code,
,mbsf_d_cmpnts,DUAL_STUS_CD_10,Oct. Dual Status Code,
,mbsf_d_cmpnts,DUAL_STUS_CD_11,Nov. Dual Status Code,
,mbsf_d_cmpnts,DUAL_STUS_CD_12,Dec. Dual Status Code,
,outpatient_base_claims,BENE_ID,Encrypted 723 Beneficiary ID,
,outpatient_base_claims,CLM_ID,Encrypted Claim ID,
,outpatient_base_claims,NCH_NEAR_LINE_REC_IDENT_CD,NCH Near Line Record Identification Code,
,outpatient_base_claims,NCH_CLM_TYPE_CD,NCH Claim Type Code,
,outpatient_base_claims,CLM_FROM_DT,Claim From Date,
,outpatient_base_claims,CLM_THRU_DT,Claim Through Date  (Determines Year of Claim),
,outpatient_base_claims,NCH_WKLY_PROC_DT,NCH Weekly Claim Processing Date,
,outpatient_base_claims,FI_CLM_PROC_DT,FI Claim Process Date,
,outpatient_base_claims,CLAIM_QUERY_CODE,Claim Query Code,
,outpatient_base_claims,PRVDR_NUM,Provider Number,
,outpatient_base_claims,CLM_FAC_TYPE_CD,Claim Facility Type Code,
,outpatient_base_claims,CLM_SRVC_CLSFCTN_TYPE_CD,Claim Service classification Type Code,
,outpatient_base_claims,CLM_FREQ_CD,Claim Frequency Code,
,outpatient_base_claims,FI_NUM,FI Number,
,outpatient_base_claims,CLM_MDCR_NON_PMT_RSN_CD,Claim Medicare Non Payment Reason Code,
,outpatient_base_claims,CLM_PMT_AMT,Claim Payment Amount,
,outpatient_base_claims,NCH_PRMRY_PYR_CLM_PD_AMT,NCH Primary Payer Claim Paid Amount,
,outpatient_base_claims,NCH_PRMRY_PYR_CD,NCH Primary Payer Code,
,outpatient_base_claims,PRVDR_STATE_CD,NCH Provider State Code,
,outpatient_base_claims,ORG_NPI_NUM,Organization NPI Number,
,outpatient_base_claims,AT_PHYSN_UPIN,Claim Attending Physician UPIN Number,
,outpatient_base_claims,AT_PHYSN_NPI,Claim Attending Physician NPI Number,
,outpatient_base_claims,OP_PHYSN_UPIN,Claim Operating Physician UPIN Number,
,outpatient_base_claims,OP_PHYSN_NPI,Claim Operating Physician NPI Number,
,outpatient_base_claims,OT_PHYSN_UPIN,Claim Other Physician UPIN Number,
,outpatient_base_claims,OT_PHYSN_NPI,Claim Other Physician NPI Number,
,outpatient_base_claims,CLM_MCO_PD_SW,Claim MCO Paid Switch,
