c_hlevel,c_fullname,c_name,c_synonym_cd,c_visualattributes,c_totalnum,c_basecode,c_metadataxml,c_facttablecolumn,c_tablename,c_columnname,c_columndatatype,c_operator,c_dimcode,c_comment,c_tooltip,m_applied_path,update_date,download_date,import_date,sourcesystem_cd,valuetype_cd,m_exclusion_cd,c_path,c_symbol
4,\PCORI\DEMOGRAPHIC\SEX\F\,Female,N,LA,,SEX:2,,concept_cd,concept_dimension,concept_path,T,like,\PCORI\DEMOGRAPHIC\SEX\F\,,SEX Female,@,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,grouse.kumc.edu,,,,
4,\PCORI\DEMOGRAPHIC\SEX\M\,Male,N,LA,,SEX:1,,concept_cd,concept_dimension,concept_path,T,like,\PCORI\DEMOGRAPHIC\SEX\M\,,SEX Male,@,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,grouse.kumc.edu,,,,
4,\PCORI\DEMOGRAPHIC\SEX\UN\,Unknown,N,LA,,SEX:0,,concept_cd,concept_dimension,concept_path,T,like,\PCORI\DEMOGRAPHIC\SEX\UN\,,SEX Unknown,@,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,grouse.kumc.edu,,,,
4,\PCORI\DEMOGRAPHIC\HISPANIC\Y\,Hispanic,N,LA,,RACE:5,,concept_cd,concept_dimension,concept_path,T,like,\PCORI\DEMOGRAPHIC\HISPANIC\Y\,,RACE Hispanic,@,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,grouse.kumc.edu,,,,
4,\PCORI\DEMOGRAPHIC\HISPANIC\OT\,Other,N,LA,,RACE:3,,concept_cd,concept_dimension,concept_path,T,like,\PCORI\DEMOGRAPHIC\HISPANIC\OT\,,RACE Other,@,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,grouse.kumc.edu,,,,
4,\PCORI\DEMOGRAPHIC\RACE\1\,North American Native,N,LA,,RACE:6,,concept_cd,concept_dimension,concept_path,T,like,\PCORI\DEMOGRAPHIC\RACE\1\,,RACE North American Native,@,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,grouse.kumc.edu,,,,
4,\PCORI\DEMOGRAPHIC\RACE\2\,Asian,N,LA,,RACE:4,,concept_cd,concept_dimension,concept_path,T,like,\PCORI\DEMOGRAPHIC\RACE\2\,,RACE Asian,@,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,grouse.kumc.edu,,,,
4,\PCORI\DEMOGRAPHIC\RACE\3\,Black,N,LA,,RACE:2,,concept_cd,concept_dimension,concept_path,T,like,\PCORI\DEMOGRAPHIC\RACE\3\,,RACE Black,@,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,grouse.kumc.edu,,,,
4,\PCORI\DEMOGRAPHIC\RACE\5\,White,N,LA,,RACE:1,,concept_cd,concept_dimension,concept_path,T,like,\PCORI\DEMOGRAPHIC\RACE\5\,,RACE White,@,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,grouse.kumc.edu,,,,
4,\PCORI\DEMOGRAPHIC\RACE\UN\,Unknown,N,LA,,RACE:0,,concept_cd,concept_dimension,concept_path,T,like,\PCORI\DEMOGRAPHIC\RACE\UN\,,RACE Unknown,@,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,grouse.kumc.edu,,,,
4,\PCORI\DEMOGRAPHIC\RACE\OT\,Other,N,LA,,RACE:3,,concept_cd,concept_dimension,concept_path,T,like,\PCORI\DEMOGRAPHIC\RACE\OT\,,RACE Other,@,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,2017-08-30 10:54:32.233241,grouse.kumc.edu,,,,
