c_hlevel,c_fullname,c_name,c_synonym_cd,c_visualattributes,c_totalnum,c_basecode,c_metadataxml,c_facttablecolumn,c_tablename,c_columnname,c_columndatatype,c_operator,c_dimcode,c_comment,c_tooltip,m_applied_path,update_date,download_date,import_date,sourcesystem_cd,valuetype_cd,m_exclusion_cd,c_path
3,\CMS\HOSPICE_VALUE_CODES\BENE_ID\,Encrypted 723 Beneficiary ID,N,,,BENE_ID:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HOSPICE_VALUE_CODES\BENE_ID\,,Encrypted 723 Beneficiary ID,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HOSPICE_VALUE_CODES\CLM_ID\,Encrypted Claim ID,N,,,CLM_ID:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HOSPICE_VALUE_CODES\CLM_ID\,,Encrypted Claim ID,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HOSPICE_VALUE_CODES\NCH_CLM_TYPE_CD\,NCH Claim Type Code,N,,,NCH_CLM_TYPE_CD:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HOSPICE_VALUE_CODES\NCH_CLM_TYPE_CD\,,NCH Claim Type Code,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HOSPICE_VALUE_CODES\RLT_VAL_CD_SEQ\,Claim Related Value Code Sequence,N,,,RLT_VAL_CD_SEQ:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HOSPICE_VALUE_CODES\RLT_VAL_CD_SEQ\,,Claim Related Value Code Sequence,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HOSPICE_VALUE_CODES\CLM_VAL_CD\,Claim Value Code,N,,,CLM_VAL_CD:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HOSPICE_VALUE_CODES\CLM_VAL_CD\,,Claim Value Code,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HOSPICE_VALUE_CODES\CLM_VAL_AMT\,Claim Value Amount,N,,,CLM_VAL_AMT:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HOSPICE_VALUE_CODES\CLM_VAL_AMT\,,Claim Value Amount,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HOSPICE_OCCURRNCE_CODES\BENE_ID\,Encrypted 723 Beneficiary ID,N,,,BENE_ID:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HOSPICE_OCCURRNCE_CODES\BENE_ID\,,Encrypted 723 Beneficiary ID,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HOSPICE_OCCURRNCE_CODES\CLM_ID\,Encrypted Claim ID,N,,,CLM_ID:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HOSPICE_OCCURRNCE_CODES\CLM_ID\,,Encrypted Claim ID,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HOSPICE_OCCURRNCE_CODES\NCH_CLM_TYPE_CD\,NCH Claim Type Code,N,,,NCH_CLM_TYPE_CD:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HOSPICE_OCCURRNCE_CODES\NCH_CLM_TYPE_CD\,,NCH Claim Type Code,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HOSPICE_OCCURRNCE_CODES\RLT_OCRNC_CD_SEQ\,Claim Related Occurrence Code Sequence,N,,,RLT_OCRNC_CD_SEQ:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HOSPICE_OCCURRNCE_CODES\RLT_OCRNC_CD_SEQ\,,Claim Related Occurrence Code Sequence,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HOSPICE_OCCURRNCE_CODES\CLM_RLT_OCRNC_CD\,Claim Related Occurrence Code,N,,,CLM_RLT_OCRNC_CD:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HOSPICE_OCCURRNCE_CODES\CLM_RLT_OCRNC_CD\,,Claim Related Occurrence Code,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HOSPICE_OCCURRNCE_CODES\CLM_RLT_OCRNC_DT\,Claim Related Occurrence Date,N,,,CLM_RLT_OCRNC_DT:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HOSPICE_OCCURRNCE_CODES\CLM_RLT_OCRNC_DT\,,Claim Related Occurrence Date,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HHA_CONDITION_CODES\BENE_ID\,Encrypted 723 Beneficiary ID,N,,,BENE_ID:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HHA_CONDITION_CODES\BENE_ID\,,Encrypted 723 Beneficiary ID,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HHA_CONDITION_CODES\CLM_ID\,Encrypted Claim ID,N,,,CLM_ID:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HHA_CONDITION_CODES\CLM_ID\,,Encrypted Claim ID,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HHA_CONDITION_CODES\NCH_CLM_TYPE_CD\,NCH Claim Type Code,N,,,NCH_CLM_TYPE_CD:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HHA_CONDITION_CODES\NCH_CLM_TYPE_CD\,,NCH Claim Type Code,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
3,\CMS\HHA_CONDITION_CODES\RLT_COND_CD_SEQ\,Claim Related Condition Code Sequence,N,,,RLT_COND_CD_SEQ:,,concept_cd,concept_dimension,concept_path,T,like,\CMS\HHA_CONDITION_CODES\RLT_COND_CD_SEQ\,,Claim Related Condition Code Sequence,@,2017-09-08 18:05:41,2017-09-08 18:05:41,2017-09-08 18:05:41,grouse.kumc.edu,,,
