c_hlevel,c_fullname,c_name,c_synonym_cd,c_visualattributes,c_totalnum,c_basecode,c_metadataxml,c_facttablecolumn,c_tablename,c_columnname,c_columndatatype,c_operator,c_dimcode,c_comment,c_tooltip,m_applied_path,update_date,download_date,import_date,sourcesystem_cd,valuetype_cd,m_exclusion_cd,c_path,c_symbol,pcori_basecode
4,\PCORI_MOD\CONDITION_OR_DX\DX_SOURCE\AD\ADMTG_DGNS\,Admitting Diagnosis,N,RAE,,DX:ADMTG_DGNS,,modifier_cd,MODIFIER_DIMENSION,modifier_path,T,like,\PCORI_MOD\CONDITION_OR_DX\DX_SOURCE\AD\ADMTG_DGNS\,ADMTG_DGNS_CD,DX Source,\PCORI\DIAGNOSIS\%,2017-05-22 07:13:00,2017-01-19 20:19:00,2017-05-22 07:13:00,grouse.kumc.edu,,,,AD,CONDITION_SOURCE:AD
4,\PCORI_MOD\CONDITION_OR_DX\DX_SOURCE\OT\DGNS+PDX\,Primary DX,N,RAE,,DX:DGNS+PDX,,modifier_cd,MODIFIER_DIMENSION,modifier_path,T,like,\PCORI_MOD\CONDITION_OR_DX\DX_SOURCE\OT\DGNS+PDX\,DGNS_1_CD,DX Source,\PCORI\DIAGNOSIS\%,2017-05-22 07:13:00,2017-01-19 20:19:00,2017-05-22 07:13:00,grouse.kumc.edu,,,,OT,CONDITION_SOURCE:OT
4,\PCORI_MOD\CONDITION_OR_DX\DX_SOURCE\OT\DGNS\,Secondary DX,N,RAE,,DX:DGNS,,modifier_cd,MODIFIER_DIMENSION,modifier_path,T,like,\PCORI_MOD\CONDITION_OR_DX\DX_SOURCE\OT\DGNS\,DGNS_2_CD,DX Source,\PCORI\DIAGNOSIS\%,2017-05-22 07:13:00,2017-01-19 20:19:00,2017-05-22 07:13:00,grouse.kumc.edu,,,,OT,CONDITION_SOURCE:OT
4,\PCORI_MOD\CONDITION_OR_DX\DX_SOURCE\OT\DGNS_E+PDX\,Primary E DX,N,RAE,,DX:DGNS_E+PDX,,modifier_cd,MODIFIER_DIMENSION,modifier_path,T,like,\PCORI_MOD\CONDITION_OR_DX\DX_SOURCE\OT\DGNS_E+PDX\,DGNS_E_1_CD,DX Source,\PCORI\DIAGNOSIS\%,2017-05-22 07:13:00,2017-01-19 20:19:00,2017-05-22 07:13:00,grouse.kumc.edu,,,,OT,CONDITION_SOURCE:OT
4,\PCORI_MOD\CONDITION_OR_DX\DX_SOURCE\OT\DGNS_E\,Secondary E DX,N,RAE,,DX:DGNS_E,,modifier_cd,MODIFIER_DIMENSION,modifier_path,T,like,\PCORI_MOD\CONDITION_OR_DX\DX_SOURCE\OT\DGNS_E\,DGNS_E_2_CD,DX Source,\PCORI\DIAGNOSIS\%,2017-05-22 07:13:00,2017-01-19 20:19:00,2017-05-22 07:13:00,grouse.kumc.edu,,,,OT,CONDITION_SOURCE:OT
4,\PCORI_MOD\PDX\OT\ADMTG_DGNS\,Admitting Diagnosis,N,RAE,,DX:ADMTG_DGNS,,modifier_cd,MODIFIER_DIMENSION,modifier_path,T,like,\PCORI_MOD\PDX\OT\ADMTG_DGNS\,ADMTG_DGNS_CD,Primary DX Flag,\PCORI\DIAGNOSIS\%,2017-05-22 07:13:00,2017-01-19 20:19:00,2017-05-22 07:13:00,grouse.kumc.edu,,,,OT,DX_SOURCE:OT
4,\PCORI_MOD\PDX\P\DGNS+PDX\,Primary DX,N,RAE,,DX:DGNS+PDX,,modifier_cd,MODIFIER_DIMENSION,modifier_path,T,like,\PCORI_MOD\PDX\P\DGNS+PDX\,DGNS_1_CD,Primary DX Flag,\PCORI\DIAGNOSIS\%,2017-05-22 07:13:00,2017-01-19 20:19:00,2017-05-22 07:13:00,grouse.kumc.edu,,,,P,DX_SOURCE:P
4,\PCORI_MOD\PDX\S\DGNS\,Secondary DX,N,RAE,,DX:DGNS,,modifier_cd,MODIFIER_DIMENSION,modifier_path,T,like,\PCORI_MOD\PDX\S\DGNS\,DGNS_2_CD,Primary DX Flag,\PCORI\DIAGNOSIS\%,2017-05-22 07:13:00,2017-01-19 20:19:00,2017-05-22 07:13:00,grouse.kumc.edu,,,,S,DX_SOURCE:S
4,\PCORI_MOD\PDX\P\DGNS_E+PDX\,Primary E DX,N,RAE,,DX:DGNS_E+PDX,,modifier_cd,MODIFIER_DIMENSION,modifier_path,T,like,\PCORI_MOD\PDX\P\DGNS_E+PDX\,DGNS_E_1_CD,Primary DX Flag,\PCORI\DIAGNOSIS\%,2017-05-22 07:13:00,2017-01-19 20:19:00,2017-05-22 07:13:00,grouse.kumc.edu,,,,P,DX_SOURCE:P
4,\PCORI_MOD\PDX\S\DGNS_E\,Secondary E DX,N,RAE,,DX:DGNS_E,,modifier_cd,MODIFIER_DIMENSION,modifier_path,T,like,\PCORI_MOD\PDX\S\DGNS_E\,DGNS_E_2_CD,Primary DX Flag,\PCORI\DIAGNOSIS\%,2017-05-22 07:13:00,2017-01-19 20:19:00,2017-05-22 07:13:00,grouse.kumc.edu,,,,S,DX_SOURCE:S
