c_hlevel,c_fullname,c_name,c_synonym_cd,c_visualattributes,c_totalnum,c_basecode,c_metadataxml,c_facttablecolumn,c_tablename,c_columnname,c_columndatatype,c_operator,c_dimcode,c_comment,c_tooltip,m_applied_path,update_date,download_date,import_date,sourcesystem_cd,valuetype_cd,m_exclusion_cd,c_path,c_symbol,pcori_basecode
1,\PCORI\DEMOGRAPHIC\,Demographic,N,CAE,,,,concept_cd,CONCEPT_DIMENSION,concept_path,T,like,\PDEM\,,Demographic,@,2001-01-01 0:00,2001-01-01 0:00,2001-01-01 0:00,PCORNET_CDM,,,\PCORI\,DEMOGRAPHIC
2,\PCORI\DEMOGRAPHIC\BIOBANK_FLAG\,Biobank Specimens,N,FIE,,,,concept_cd,CONCEPT_DIMENSION,concept_path,@,like,\PDEM\BIOBANKFLAG\,,"Flag to indicate that one or more biobanked specimens are stored and available for research use. Examples of biospecimens could include plasma, urine, or tissue. If biospecimens are available, locally maintained ""mapping tables"" would be necessary to map between the DEMOGRAPHIC record and the originating biobanking system(s). If no known biobanked specimens are available, this field should be marked ""No"".",@,2014-06-05 0:00,2014-06-05 0:00,2014-06-05 0:00,PCORNET_CDM,,,\PCORI\DEMOGRAPHIC\,BIOBANK_FLAG
3,\PCORI\DEMOGRAPHIC\BIOBANK_FLAG\N\,No,N,LHE,,BIOBANK_FLAG:N,,concept_cd,CONCEPT_DIMENSION,concept_path,@,like,\PDEM\BIOBANKFLAG\N\,,No,@,2014-06-05 0:00,2014-06-05 0:00,2014-06-05 0:00,PCORNET_CDM,,,\PCORI\DEMOGRAPHIC\BIOBANK_FLAG\,N,BIOBANK_FLAG:N
3,\PCORI\DEMOGRAPHIC\BIOBANK_FLAG\Y\,Yes,N,LAE,,BIOBANK_FLAG:Y,,concept_cd,CONCEPT_DIMENSION,concept_path,T,like,\PDEM\BIOBANKFLAG\Y\,,Yes,@,2014-06-05 0:00,2014-06-05 0:00,2014-06-05 0:00,PCORNET_CDM,,,\PCORI\DEMOGRAPHIC\BIOBANK_FLAG\,Y,BIOBANK_FLAG:Y
2,\PCORI\DEMOGRAPHIC\BIRTH_DATE\,BIRTH_DATE,N,LHE,,DEMOGRAPHIC:BIRTH_DATE,"<?xml version=""1.0"" encoding=""UTF-8""?>        <ValueMetadata>          <Version>3.2</Version>          <CreationDateTime>01/26/2011 00:00:00</CreationDateTime>          <DataType>String</DataType>          <Oktousevalues>Y</Oktousevalues>          <UnitValues>            <NormalUnits>DATE</NormalUnits>          </UnitValues>        </ValueMetadata>        ",concept_cd,CONCEPT_DIMENSION,concept_path,D,like,\PDEM\BIRTHDATE\,Added scheme to baasecode:BIRTH_DATE:,Date of birth.,@,2014-06-05 0:00,2014-06-05 0:00,2014-06-05 0:00,PCORNET_CDM,,,\PCORI\DEMOGRAPHIC\,BIRTH_DATE,DEMOGRAPHIC:BIRTH_DATE
2,\PCORI\DEMOGRAPHIC\BIRTH_TIME\,BIRTH_TIME,N,LHE,,DEMOGRAPHIC:BIRTH_TIME,"<?xml version=""1.0"" encoding=""UTF-8""?>        <ValueMetadata>          <Version>3.2</Version>          <CreationDateTime>01/26/2011 00:00:00</CreationDateTime>          <DataType>String</DataType>          <Oktousevalues>Y</Oktousevalues>          <UnitValues>            <NormalUnits>TIME</NormalUnits>          </UnitValues>        </ValueMetadata>        ",concept_cd,CONCEPT_DIMENSION,concept_path,T,like,\PDEM\BIRTHTIME\,Added scheme to baasecode:BIRTH_TIME:,Time of birth.,@,2014-06-05 0:00,2014-06-05 0:00,2014-06-05 0:00,PCORNET_CDM,,,\PCORI\DEMOGRAPHIC\,BIRTH_TIME,DEMOGRAPHIC:BIRTH_TIME
2,\PCORI\DEMOGRAPHIC\HISPANIC\,Ethnicity,N,FAE,,,"<?xml version=""1.0"" encoding=""UTF-8""?><ValueMetadata><Version>3.2</Version><CreationDateTime>2014-05-09T11:10:26.266-04:00</CreationDateTime><MaxStringLength/><DataType>Enum</DataType><Oktousevalues/><EnumValues><Val>No</Val><Val>Unknown</Val><Val>Yes</Val>    </EnumValues></ValueMetadata>",concept_cd,CONCEPT_DIMENSION,concept_path,T,like,\PDEM\HISPANIC\,,Ethnicity,@,2014-05-09 11:10,2014-05-09 11:10,2014-05-09 11:10,PCORNET_CDM,,,\PCORI\DEMOGRAPHIC\,HISPANIC
3,\PCORI\DEMOGRAPHIC\HISPANIC\NI\,No information,N,LAE,,ETHNICITY:NI,,PATIENT_NUM,PATIENT_DIMENSION,ETHNICITY_CD,N,IS, NULL,,"No information: A data field is present in the source system, but the source value is null or blank.",@,2014-06-02 19:40,2014-06-02 19:40,2014-06-02 19:40,PCORNET_CDM,,,\PCORI\DEMOGRAPHIC\HISPANIC\,NI,NI
3,\PCORI\DEMOGRAPHIC\HISPANIC\N\,Non-Hispanic,N,LAE,,ETHNICITY:NOTHISPANIC,,PATIENT_NUM,PATIENT_DIMENSION,ETHNICITY_CD,T,IN,"N','N=No'",,Non-Hispanic,@,2014-05-09 11:12,2014-05-09 11:12,2014-05-09 11:12,PCORNET_CDM,,,\PCORI\DEMOGRAPHIC\HISPANIC\,N,N
3,\PCORI\DEMOGRAPHIC\HISPANIC\OT\,Other,N,LAE,,ETHNICITY:OT,,PATIENT_NUM,PATIENT_DIMENSION,ETHNICITY_CD,T,IN,"OT','OT=Other'",,"Other: A data field is present in the source system, but the source value cannot be mapped to the CDM.",@,2014-06-02 19:44,2014-06-02 19:44,2014-06-02 19:44,PCORNET_CDM,,,\PCORI\DEMOGRAPHIC\HISPANIC\,OT,OT
